BFO 1.1/OBO_REL	BFO 2.0 Classes/RO	BFO 2.0/RO labels
http://www.ifomis.org/bfo/1.1/snap#Continuant	http://purl.obolibrary.org/obo/BFO_0000002	continuant
http://www.ifomis.org/bfo/1.1/snap#ObjectBoundary	http://purl.obolibrary.org/obo/BFO_0000140	continuant fiat boundary
http://www.ifomis.org/bfo/1.1/snap#Disposition	http://purl.obolibrary.org/obo/BFO_0000016	disposition
http://www.ifomis.org/bfo/1.1#Entity	http://purl.obolibrary.org/obo/BFO_0000001	entity
http://www.ifomis.org/bfo/1.1/snap#FiatObjectPart	http://purl.obolibrary.org/obo/BFO_0000024	fiat object
http://www.ifomis.org/bfo/1.1/snap#Function	http://purl.obolibrary.org/obo/BFO_0000034	function
http://www.ifomis.org/bfo/1.1/snap#GenericallyDependentContinuant	http://purl.obolibrary.org/obo/BFO_0000031	generically dependent continuant
http://www.ifomis.org/bfo/1.1/snap#IndependentContinuant	http://purl.obolibrary.org/obo/BFO_0000004	independent continuant
http://www.ifomis.org/bfo/1.1/snap#MaterialEntity	http://purl.obolibrary.org/obo/BFO_0000040 	material entity
http://www.ifomis.org/bfo/1.1/snap#Object	http://purl.obolibrary.org/obo/BFO_0000030	object
http://www.ifomis.org/bfo/1.1/snap#ObjectAggregate	http://purl.obolibrary.org/obo/BFO_0000027	object aggregate
http://www.ifomis.org/bfo/1.1/span#Occurrent	http://purl.obolibrary.org/obo/BFO_0000003	occurrent
http://www.ifomis.org/bfo/1.1/snap#OneDimensionalRegion	http://purl.obolibrary.org/obo/BFO_0000026	one-dimensional spatial region
http://www.ifomis.org/bfo/1.1/span#ConnectedTemporalRegion	http://purl.obolibrary.org/obo/BFO_0000038	one-dimensional temporal region
http://www.ifomis.org/bfo/1.1/span#ProcessualEntity	http://purl.obolibrary.org/obo/BFO_0000015	process
http://www.ifomis.org/bfo/1.1/span#ProcessBoundary	http://purl.obolibrary.org/obo/BFO_0000035	process boundary
http://www.ifomis.org/bfo/1.1/snap#Quality	http://purl.obolibrary.org/obo/BFO_0000019	quality
http://www.ifomis.org/bfo/1.1/snap#RealizableEntity	http://purl.obolibrary.org/obo/BFO_0000017	realizable entity
http://www.ifomis.org/bfo/1.1/snap#Role	http://purl.obolibrary.org/obo/BFO_0000023	role
http://www.ifomis.org/bfo/1.1/snap#Site	http://purl.obolibrary.org/obo/BFO_0000029	site
http://www.ifomis.org/bfo/1.1/snap#SpatialRegion	http://purl.obolibrary.org/obo/BFO_0000006	spatial region
http://www.ifomis.org/bfo/1.1/span#SpatiotemporalRegion	http://purl.obolibrary.org/obo/BFO_0000011	spatiotemporal region
http://www.ifomis.org/bfo/1.1/snap#SpecificallyDependentContinuant	http://purl.obolibrary.org/obo/BFO_0000020	specifically dependent continuant
